Time,Pathogen_Virus,Recombinant_Virus,Normal_Th_cells,Single_Infected_Th_Cells,Double_Infected_Th_Cells,d,lamda,beta,a,alpha,b,k,u,c,q,Plasma,Production_of_Normal_cells,Degradation_of_Normal_cells,Infection_of_Normal_cells_with_Pathogen,Degradation_of_Single_Infected_Cells,Infection_of_Single_Infeced_Cells_with_Recombinant_Virus,Release_of_Pathogen,Degradation_of_Double_Infected_Cells,Release_of_Recombinant_Virus,Degradation_of_Pathogen_Virus,Degradation_of_Recombinant_Virus
49.2,26.84735520307861,1335.171733495716,25.361961367627018,0.6684035678133277,1.7654141954574685,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2536196136762702,2.7236063419337597,0.22057317737839813,3.569734201248168,33.420178390666386,3.530828390914937,3530.828390914937,53.69471040615722,2670.343466991432
49.5,20.60494360916636,1508.1431939638333,25.167382087204395,0.4205558353535638,1.6444729803425668,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.25167382087204393,2.0742899547887603,0.13878342566667606,2.5370336830810065,21.02779176767819,3.2889459606851337,3288.9459606851337,41.20988721833272,3016.2863879276665
49.8,15.153852342283587,1504.2899709288326,25.155684441767082,0.28881915179993745,1.370037440064275,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.25155684441767084,1.5248221103984756,0.09531032009397936,1.7378710138592721,14.440957589996872,2.74007488012855,2740.07488012855,30.307704684567174,3008.5799418576653
50.1,11.113358482613808,1369.5940183368239,25.28633376551829,0.22106585433910725,1.0743408536684613,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2528633376551829,1.1240643673889066,0.07295173193190539,1.2110818870454434,11.053292716955362,2.1486817073369227,2148.6817073369225,22.226716965227617,2739.1880366736477
50.4,8.353891740904764,1170.8267261950261,25.516466997185518,0.18610382564837452,0.8179585904893137,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.25516466997185516,0.8526472116194284,0.061414262463963594,0.8715813316650252,9.305191282418726,1.6359171809786275,1635.9171809786276,16.70778348180953,2341.6534523900523
50.7,6.569982367904193,959.6073967774169,25.811894828976943,0.16997638655589,0.6165776818500487,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.25811894828976945,0.6783347756343038,0.056092207563443706,0.6524423912661181,8.4988193277945,1.2331553637000974,1233.1553637000973,13.139964735808386,1919.2147935548337
51.0,5.492804699153868,765.9416544954742,26.147537680236738,0.1668419778697221,0.4668919916426609,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2614753768023674,0.5744932713652287,0.055057852697008296,0.5111648822753289,8.342098893486105,0.9337839832853218,933.7839832853217,10.985609398307735,1531.8833089909483
51.3,4.935084549757257,603.0179732381235,26.50506107491149,0.17469389526243764,0.3596355516245952,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2650506107491149,0.5232188696046728,0.057648985436604426,0.42137423463291274,8.734694763121881,0.7192711032491904,719.2711032491904,9.870169099514515,1206.035946476247
51.6,4.785753962431261,473.67193374892554,26.870345834272545,0.19369684549070884,0.2851335842259709,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.26870345834272547,0.5143794561930726,0.06391995901193392,0.3669950374586036,9.684842274535441,0.5702671684519418,570.2671684519418,9.571507924862521,947.3438674978511
51.9,4.995774359763204,375.4605325468876,27.23137033283465,0.2255916131723283,0.2353465407290299,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.27231370332834653,0.5441671267599669,0.07444523234686834,0.33880298887917537,11.279580658616414,0.4706930814580598,470.69308145805985,9.991548719526408,750.9210650937752
52.2,5.566679207174903,303.9521786112681,27.576480317572837,0.2735321435871012,0.20442267496388436,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2757648031757284,0.6140376783636027,0.0902656073837434,0.3325627638540385,13.67660717935506,0.4088453499277687,408.8453499277687,11.133358414349805,607.9043572225362
52.5,6.543481823970665,254.62750777076798,27.892915303028463,0.34205151659520056,0.18873457779031666,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.27892915303028465,0.7300671372116798,0.11287700047641619,0.3483829007993896,17.102575829760028,0.3774691555806333,377.4691555806333,13.08696364794133,509.25501554153595
52.8,8.009801017336246,223.92245364668923,28.165506297070273,0.43688117839633595,0.18690364378538224,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.28165506297070275,0.9024004039682557,0.14417078887079088,0.39131002167425805,21.844058919816796,0.3738072875707645,373.80728757076446,16.01960203467249,447.84490729337847
53.1,10.079980157961431,209.8792713980216,28.375608763101116,0.5641659733532627,0.2001446764636506,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2837560876310112,1.1441022932085432,0.1861747712065767,0.47362697373975376,28.208298667663133,0.4002893529273012,400.2893529273012,20.159960315922863,419.7585427960432
53.4,12.877714727937985,212.81142972196102,28.50062598416307,0.7281698274626882,0.23328539716564478,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2850062598416307,1.4680917239668352,0.24029604306268712,0.6198514482509134,36.40849137313441,0.46657079433128956,466.57079433128956,25.75542945587597,425.62285944392204
53.7,16.48078409964474,236.38913352071162,28.515018809497956,0.9258167187426927,0.2969055078773597,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.28515018809497955,1.8797994743865785,0.3055195171850886,0.875412047770294,46.29083593713463,0.5938110157547194,593.8110157547194,32.96156819928948,472.77826704142325
54.0,20.79777865276878,289.5201232079723,28.39457142555769,1.135894396628508,0.4106665037716805,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2839457142555769,2.3621760457959287,0.37484515088740766,1.315457142652524,56.7947198314254,0.821333007543361,821.3330075433611,41.59555730553756,579.0402464159446
54.3,25.34583747810431,388.671283509612,28.126551886463552,1.3037871233457725,0.6047640622730462,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2812655188646355,2.8515640517350938,0.4302497507041049,2.026978458616425,65.18935616728862,1.2095281245460925,1209.5281245460924,50.69167495620862,777.342567019224
54.6,29.005153094217654,556.6505185657242,27.727234674143457,1.3390048902927,0.905158096761657,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2772723467414346,3.2169307464113244,0.44187161379659107,2.9814310661738883,66.950244514635,1.810316193523314,1810.316193523314,58.01030618843531,1113.3010371314483
