Time,P,I,M,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ
30.0,2.6914546672246864,7.227685416347156,62.87931614754991,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4223092005022178,2.4214350274980774,5.875896294117807,5.879413271313021,6.459491201339247,6.287931614754991
30.5,2.691887067560311,7.226162732013344,62.96324545175065,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.42269836080428,2.4218518972193404,5.875604201917902,5.87819025564264,6.460528962144746,6.296324545175065
31.0,2.692293177150741,7.225092072921612,63.04357332470302,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423063859435667,2.4222918149571244,5.875619827663828,5.8773339887983544,6.461503625161778,6.304357332470302
31.5,2.6926537425862036,7.224433411885475,63.1204330753306,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423388368327583,2.42272171872161,5.8758692993734725,5.876811217831272,6.462368982206889,6.31204330753306
32.0,2.692956838950403,7.224130287835864,63.193933075117414,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423661155055363,2.4231168604947664,5.876281319228901,5.8765755855891735,6.463096413480967,6.319393307511742
32.5,2.6931970113209194,7.224117207192442,63.26416624908771,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4238773101888276,2.423460571949722,5.876791261552814,5.876573620113168,6.463672827170206,6.326416624908771
33.0,2.693374093030028,7.224325887167242,63.33121769898305,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4240366837270253,2.4237434102061863,5.877343655230727,5.876749770654306,6.464097823272067,6.333121769898305
33.5,2.6934919347353055,7.224690341518349,63.39517069260208,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.424142741261775,2.4239620187888145,5.87789354975192,5.877050499043878,6.464380643364733,6.339517069260208
34.0,2.6935568850996434,7.225151109696008,63.45611137719401,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4242011965896793,2.424117514523889,5.878406655222103,5.877427665343842,6.464536524239144,6.345611137719402
34.5,2.6935777548208377,7.225655010512334,63.51412843905707,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.424219979338754,2.4242154042694204,5.878859080097724,5.877838326411496,6.46458661157001,6.351412843905707
35.0,2.6935636096084457,7.22615974091217,63.569318016248786,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.424207248647601,2.4242630295683067,5.879236274601584,5.87824839730643,6.464552663060269,6.356931801624879
35.5,2.6935239405307967,7.226633238552002,63.62178295872447,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.424171546477717,2.4242697255162815,5.879532891242626,5.878632139028979,6.4644574572739115,6.362178295872447
36.0,2.693467254512429,7.227052878296677,63.6716312132563,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4241205290611862,2.424244683942239,5.879749082296568,5.878971454008951,6.46432141082983,6.36716312132563
36.5,2.6934014858017012,7.227405384885739,63.71897590918879,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.424061337221531,2.424197532850886,5.879891320642741,5.8792558299193045,6.464163565924083,6.37189759091888
37.0,2.693332781914295,7.227684316539314,63.76393178396638,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4239995037228654,2.4241362501799966,5.879967732118945,5.879480248766767,6.463998676594308,6.376393178396638
37.5,2.6932662675343515,7.227890115657566,63.806616030560306,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4239396407809166,2.424068269264958,5.879989790183645,5.87964525569578,6.463839042082443,6.380661603056031
38.0,2.693205353393686,7.228027806225958,63.847143675649875,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4238848180543178,2.4239991742199907,5.879968954661851,5.879755060891798,6.463692848144847,6.384714367564988
38.5,2.6931526317115853,7.228105034350188,63.88562883235097,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423837368540427,2.423933724316406,5.879917028664391,5.8798159779578905,6.463566316107804,6.388562883235097
39.0,2.6931093449691477,7.228131325843449,63.92218127974962,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237984104722328,2.423874989806692,5.879844406087969,5.879835800776226,6.463462427925954,6.392218127974963
39.5,2.6930759731161023,7.228116863333384,63.956906157922326,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423768375804492,2.4238250321709716,5.879760356655539,5.8798228299443,6.463382335478645,6.395690615792233
40.0,2.6930523249521277,7.228072003941278,63.98990401143339,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423747092456915,2.4237849707427843,5.879672834540633,5.8797854837287,6.463325579885106,6.398990401143339
40.5,2.6930375711476686,7.228007305038577,64.0212742874225,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423733814032902,2.4237550337725215,5.8795885710996085,5.879732320215855,6.463290170754404,6.402127428742251
41.0,2.693030574905641,7.2279308108592355,64.05109774257761,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423727517415077,2.423734668822644,5.879511600083934,5.87966984202212,6.463273379773539,6.405109774257761
41.5,2.6930295735179812,7.227851943824272,64.07947905726441,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237266161661832,2.4237226086548977,5.879445711318457,5.87960565024806,6.463270976443154,6.4079479057264415
42.0,2.693033450328183,7.227774513391684,64.10647452857592,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423730105295365,2.4237177597169692,5.879391560797993,5.879542803393314,6.463280280787639,6.410647452857592
42.5,2.693041033384237,7.227702692541585,64.13214667862894,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237369300458136,2.4237189979040594,5.879349978434867,5.87948465367385,6.463298480122169,6.413214667862895
43.0,2.693050425340337,7.2276409368939065,64.1565989453673,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237453828063034,2.4237241936506226,5.87932044979281,5.879434757011672,6.463321020816809,6.415659894536731
43.5,2.693061562122625,7.227588593151139,64.17983851375021,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237554059103625,2.4237331668290345,5.879302308115381,5.879392579656168,6.4633477490943,6.417983851375022
44.0,2.693072947567088,7.227547777793989,64.20195334655706,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423765652810379,2.4237440500648173,5.879294019287683,5.87935978922332,6.463375074161011,6.420195334655706
44.5,2.693083445010219,7.227519855725543,64.22301576665477,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423775100509197,2.4237553919544776,5.879294221581131,5.879337454940121,6.463400268024525,6.422301576665477
45.0,2.693092945636827,7.227502669620983,64.2430630399886,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237836510731445,2.4237667454741487,5.87930093623828,5.879323817967425,6.4634230695283845,6.42430630399886
45.5,2.6931009853545915,7.227495275131199,64.2621447117224,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4237908868191322,2.423777315818649,5.879312394130446,5.879318093340467,6.463442364851019,6.426214471172241
46.0,2.693107371430758,7.227495718597177,64.28030393448928,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423796634287682,2.4237865626478525,5.87932659902149,5.879318684861433,6.4634576914338195,6.428030393448928
46.5,2.6931119144527087,7.227502034162657,64.29758377723458,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423800723007438,2.4237939487501587,5.879341551980391,5.879323986529799,6.463468594686501,6.429758377723458
47.0,2.693114765999088,7.227511783526649,64.31404399641768,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423803289399179,2.423799363850866,5.879355611694407,5.879332020349559,6.463475438397811,6.431404399641768
47.5,2.693116057332307,7.227525588092247,64.329668388362,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4238044515990764,2.42380308045579,5.879369564821407,5.879343296554155,6.463478537597537,6.4329668388362
48.0,2.693116295503041,7.22753943896063,64.3445528543424,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423804665952737,2.4238052881935936,5.879381271836733,5.879354572365783,6.463479109207298,6.43445528543424
48.5,2.6931156753740484,7.227552524074757,64.35871344529201,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4238041078366437,2.4238061580478334,5.879390499152499,5.879365194245681,6.463477620897716,6.435871344529201
49.0,2.6931144558485056,7.227564457315721,64.37218348532492,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423803010263655,2.4238060104887302,5.879397496172148,5.8793748574554465,6.463474694036413,6.437218348532493
49.5,2.6931128303494356,7.227574954625616,64.38499042298527,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.423801547314492,2.423805085529274,5.879402452784346,5.879383337913565,6.4634707928386455,6.4384990422985275
50.0,2.6931110373893,7.227583566489001,64.39717349790051,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.42379993365037,2.423803665769867,5.879405522969514,5.879390278574026,6.46346648973432,6.439717349790051
