Act_C_Cyt,Act_C_Nuc,Ca_Cyt,Ca_Nuc,Inact_C_Cyt,Inact_C_Nuc,NFAT_Act_C_Cyt,NFAT_Act_C_Nuc,NFAT_Cyt,NFAT_Nuc,NFAT_Pi_Act_C_Cyt,NFAT_Pi_Act_C_Nuc,NFAT_Pi_Cyt,NFAT_Pi_Nuc,Time
0.004105001395095965,0.024370706427922266,1.0,1.0,0.004217681270054685,0.024401274792737876,0.00040264571975580593,0.002691432345304236,9.544752404202887e-05,0.0002229733166658003,0.0004561978659257782,3.666022630221879e-05,0.00801359559125668,0.00015325515098704403,5.96
0.004103952124250775,0.024370411572401593,1.0,1.0,0.004216568969425704,0.02440093561385802,0.0004029780170886529,0.0026965212779089852,9.542739516390046e-05,0.00022265416426956608,0.0004561542360684062,3.666383407720679e-05,0.008011344451810051,0.00015320140573325382,5.97
0.0041029034282034854,0.024370116921750236,1.0,1.0,0.004215457319059636,0.02440059683307724,0.0004033085181321865,0.002701613182818703,9.54072829188997e-05,0.00022233562740889878,0.0004561096759307418,3.666744096700362e-05,0.008009094480916482,0.00015314774283508196,5.98
0.004101855306696086,0.024369822476773842,1.0,1.0,0.004214346318200809,0.02440025844854346,0.00040363722737727064,0.0027067080394027904,9.538718726802548e-05,0.00022201770510327056,0.00045606419109549647,3.667104708130014e-05,0.0080068456777384,0.00015309416190022198,5.99
0.004100807759473038,0.024369528238288276,1.0,1.0,0.004213235966092317,0.024399920458396212,0.0004039641493159974,0.0027118058270881153,9.536710817237409e-05,0.00022170039637348088,0.0004560177871184899,3.667465252862758e-05,0.008004598041438663,0.00015304066253856916,6.0
0.004099760786281754,0.024369234207122243,1.0,1.0,0.0042121262619755516,0.024399582860764008,0.00040428928844128307,0.0027169065253592737,9.534704559313974e-05,0.00022138370024165686,0.0004559704695289153,3.667825741640373e-05,0.008002351571180582,0.00015298724436218683,6.01
0.0040987143868730725,0.024368940384119932,1.0,1.0,0.0042110172050897334,0.02439924565376173,0.000404612649246465,0.0027220101137588556,9.532699949161518e-05,0.0002210676157312535,0.00045592224382960477,3.668186185097892e-05,0.008000106266127932,0.00015293390698527267,6.02
0.004097668561001744,0.024368646770143627,1.0,1.0,0.004209908794671451,0.024398908835487957,0.0004049342362248974,0.0027271165718877072,9.530696982919201e-05,0.00022075214186705402,0.0004558731154972944,3.668546593768218e-05,0.007997862125445003,0.0001528806500241251,6.03
0.004096623308426898,0.024368353366076338,1.0,1.0,0.004208801029954188,0.02439857240402237,0.0004052540538695471,0.002732225879405195,9.528695656736133e-05,0.00022043727767517013,0.00045582308998288947,3.668906978086723e-05,0.007995619148296586,0.0001528274730971094,6.04
0.004095578628912532,0.024368060172824432,1.0,1.0,0.0042076939101678605,0.024398236357423102,0.0004055721066725907,0.0027373380160294696,9.52669596677142e-05,0.00022012302218304232,0.00045577217271172997,3.669267348395862e-05,0.007993377333848027,0.00015277437582462435,6.05
0.004094534522227984,0.02436776719132026,1.0,1.0,0.004206587434538348,0.024397900693724092,0.00040588839912500987,0.002742452961537729,9.524697909194209e-05,0.0002198093744194401,0.0004557203690838558,3.6696277149497744e-05,0.007991136681265222,0.00015272135782906816,6.06
0.004093490988148408,0.024367474422524772,1.0,1.0,0.004205481602287028,0.024397565410932482,0.0004062029357161884,0.002747570695766484,9.522701480183746e-05,0.00021949633341446229,0.00045566768447427174,3.669988087918899e-05,0.00798889718971466,0.000152668418734805,6.07
0.004092448026455259,0.024367181867430154,1.0,1.0,0.004204376412630308,0.024397230507025955,0.0004065157209335074,0.0027526911986118178,9.520706675929424e-05,0.00021918389819953744,0.000455614124233213,3.6703484773945735e-05,0.007986658858363435,0.0001526155581681313,6.08
0.0040914056369367666,0.024366889527062455,1.0,1.0,0.004203271864779156,0.02439689597995012,0.00040682675926194254,0.0027578144500296545,9.518713492630831e-05,0.00021887206780742393,0.0004555596936864106,3.670708893393647e-05,0.007984421686379268,0.00015256277575724202,6.09
0.004090363819388412,0.024366597402484202,1.0,1.0,0.004202167957938644,0.024396561827615865,0.00040713605518365935,0.00276294043003602,9.516721926497799e-05,0.0002185608412722103,0.00045550439813535614,3.671069345863086e-05,0.007982185672930528,0.0001525100711321969,6.1
