Time,P,O,C,aP,n,bP,mP,zD,cPP,kP,aO,bO,zO,mO,cOC,cOP,cOO,kO,aC,bC,zC,mC,cCO,cCP,cCC,kC,default_compartment,a1,a2,a3,a4,a5,a6
2.27,12.030385208363214,0.13653374329779752,0.13930288682187594,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203204078250154,1.2030385208363215,0.012292187614889323,0.013653374329779753,0.013656204226694476,0.013930288682187595
2.28,12.030386863758045,0.13652013820087838,0.13930014732561036,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032042079294598,1.2030386863758045,0.012292179290011295,0.013652013820087839,0.013656199562980904,0.013930014732561037
2.29,12.030388518794313,0.13650654661897987,0.1392974105208467,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032043375806523,1.2030388518794313,0.012292170971312745,0.013650654661897988,0.013656194901024868,0.013929741052084672
2.3,12.030390173472094,0.13649296853864298,0.13929467640491003,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032044672037376,1.2030390173472094,0.012292162658787084,0.013649296853864299,0.013656190240825213,0.013929467640491003
2.31,12.030391827791469,0.13647940394642186,0.13929194497512773,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203204596798722,1.203039182779147,0.012292154352427751,0.013647940394642186,0.013656185582380798,0.013929194497512773
2.32,12.03039348175251,0.13646585282888354,0.13928921622882995,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203204726365611,1.203039348175251,0.012292146052228184,0.013646585282888354,0.013656180925690476,0.013928921622882996
2.33,12.030395135355299,0.1364523151726082,0.13928649016334937,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032048559044113,1.20303951353553,0.012292137758181824,0.01364523151726082,0.013656176270753103,0.013928649016334938
2.34,12.030396788599912,0.13643879096418893,0.13928376677602128,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032049854151285,1.2030396788599913,0.012292129470282125,0.013643879096418893,0.01365617161756753,0.013928376677602128
2.35,12.030398441486428,0.13642528019023178,0.13928104606418348,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032051148977694,1.203039844148643,0.012292121188522546,0.01364252801902318,0.013656166966132617,0.01392810460641835
2.36,12.03040009401492,0.13641178283735583,0.1392783280251765,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032052443523393,1.2030400094014921,0.012292112912896567,0.013641178283735584,0.013656162316447226,0.01392783280251765
