Time,miR,miR_gene,miR_gene_TF1,Signal,TF1,TF1_mRNA,Sink,kbinTF1miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
21960.0,307.0284262267687,1.508754518085973,0.4912454819140289,1.0,325.5966931833092,32.559669330602134,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274095708503,2.4562274095701446,2.4562274095701446,2.45622740981415,10.0,0.0032559669330602136,9.996744033038762,1.6279834665301067,1.627983465916546
22448.0,307.02842622833623,1.50875451808103,0.49124548191897177,1.0,325.59669318764776,32.559669330440464,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274095955323,2.4562274095948586,2.4562274095948586,2.45622740982669,10.0,0.0032559669330440464,9.996744033040162,1.6279834665220232,1.6279834659382388
22936.0,307.0284262299038,1.508754518076087,0.4912454819239147,1.0,325.5966931919863,32.5596693302788,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274096202144,2.4562274096195735,2.4562274096195735,2.4562274098392303,10.0,0.00325596693302788,9.996744033041567,1.62798346651394,1.6279834659599315
23424.0,307.02842623147137,1.5087545180711441,0.4912454819288576,1.0,325.59669319632485,32.55966933011713,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274096448964,2.456227409644288,2.456227409644288,2.456227409851771,10.0,0.0032559669330117134,9.996744033042969,1.6279834665058566,1.6279834659816244
23912.0,307.02842623303894,1.5087545180662012,0.4912454819338005,1.0,325.59669320066337,32.55966932995547,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409669578,2.4562274096690024,2.4562274096690024,2.4562274098643115,10.0,0.003255966932995547,9.996744033044374,1.6279834664977735,1.6279834660033168
24400.0,307.02842623460646,1.5087545180612583,0.4912454819387434,1.0,325.5966932050019,32.5596693297938,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.45622740969426,2.456227409693717,2.456227409693717,2.4562274098768517,10.0,0.00325596693297938,9.996744033045776,1.62798346648969,1.6279834660250094
24888.0,307.028426236174,1.5087545180563153,0.49124548194368634,1.0,325.59669320934046,32.55966932963213,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409718942,2.456227409718432,2.456227409718432,2.4562274098893924,10.0,0.003255966932963213,9.996744033047175,1.6279834664816066,1.6279834660467023
25376.0,307.0284262377416,1.5087545180513724,0.4912454819486292,1.0,325.596693213679,32.559669329470466,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409743624,2.4562274097431462,2.4562274097431462,2.456227409901933,10.0,0.0032559669329470468,9.99674403304858,1.6279834664735233,1.627983466068395
25864.0,307.02842623930917,1.5087545180464297,0.49124548195357215,1.0,325.59669321801755,32.5596693293088,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274097683066,2.4562274097678607,2.4562274097678607,2.456227409914473,10.0,0.00325596693293088,9.996744033049982,1.62798346646544,1.6279834660900878
26352.0,307.0284262408767,1.5087545180414867,0.49124548195851503,1.0,325.59669322235607,32.55966932914713,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409792988,2.456227409792575,2.456227409792575,2.4562274099270134,10.0,0.003255966932914713,9.996744033051383,1.6279834664573565,1.6279834661117805
26840.0,307.02842624244425,1.5087545180365438,0.49124548196345796,1.0,325.59669322669464,32.559669328985464,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274098176706,2.4562274098172896,2.4562274098172896,2.456227409939554,10.0,0.0032559669328985465,9.996744033052789,1.6279834664492734,1.6279834661334733
27328.0,307.0284262440118,1.5087545180316009,0.49124548196840084,1.0,325.59669323103316,32.559669328823794,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409842352,2.456227409842004,2.456227409842004,2.4562274099520947,10.0,0.0032559669328823797,9.99674403305419,1.6279834664411899,1.6279834661551658
27816.0,307.0284262455794,1.508754518026658,0.4912454819733438,1.0,325.59669323537173,32.559669328662125,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274098670347,2.456227409866719,2.456227409866719,2.4562274099646353,10.0,0.0032559669328662126,9.996744033055593,1.6279834664331063,1.6279834661768586
