data_generator_T,data_generator_Z
18.84,0.14062306
18.860001,0.14047946
18.879999,0.1403363
18.9,0.14019357
18.92,0.14005126
18.940001,0.13990939
18.959999,0.13976794
18.98,0.13962692
19.0,0.13948633
19.02,0.13934615
19.040001,0.13920641
19.059999,0.13906708
19.08,0.13892817
19.1,0.1387897
19.120001,0.13865164
19.139999,0.138514
19.16,0.13837677
19.18,0.13823996
19.200001,0.13810359
19.219999,0.13796762
19.24,0.13783206
19.26,0.13769692
19.280001,0.13756219
19.299999,0.13742787
19.32,0.13729396
19.34,0.13716048
19.360001,0.1370274
19.379999,0.13689472
19.4,0.13676246
19.42,0.13663059
19.440001,0.13649915
19.459999,0.1363681
19.48,0.13623746
19.5,0.13610722
19.52,0.13597739
19.540001,0.13584796
19.559999,0.13571891
19.58,0.13559029
19.6,0.13546206
19.620001,0.13533422
19.639999,0.13520679
19.66,0.13507976
19.68,0.13495311
19.700001,0.13482685
19.719999,0.134701
19.74,0.13457555
19.76,0.13445048
19.780001,0.1343258
19.799999,0.13420151
19.82,0.13407762
19.84,0.13395412
19.860001,0.13383099
19.879999,0.13370827
19.9,0.13358593
19.92,0.13346396
19.940001,0.1333424
19.959999,0.13322121
19.98,0.13310039
20.0,0.13297997
