AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.27032234471080646,0.6571591986084904,7.372586373994082,0.1312044608908118,0.3899688007027008,0.03142780719888128,0.017790327744302295,0.051758625919622554,1.1018762043913797,0.029689700085486912,0.0324142093155916,0.004364160021017592,0.04149009012574077,0.029203300853242475,5.42
0.27121910542036787,0.6581990223865501,7.369873761359855,0.13127919236499389,0.39023746929330944,0.03154038958949814,0.017842601582483138,0.05190617986004495,1.1042207515802787,0.029794271073012416,0.03250673764287278,0.004388825401555156,0.04152686985246823,0.029274116318817076,5.43
0.27211673208718157,0.6592382332262751,7.36716214678342,0.13135357302069486,0.3905051090396945,0.03165315666403686,0.01789491135298093,0.05205381561518709,1.1065655888759693,0.029899007343749322,0.03259931793989952,0.0044135822802134714,0.04156351872734522,0.02934491060662383,5.44
0.27301522211947954,0.6602768312114689,7.3644515298975595,0.13142760383734245,0.39077172241965025,0.03176610831922838,0.017947256918051144,0.05220153278723722,1.1089107130393663,0.030003908800241338,0.032691949958444336,0.004438430806073922,0.04160003706030203,0.029415683465207385,5.45
0.27391457293153765,0.6613148164258338,7.36174191033519,0.1315012857918063,0.39103731190538144,0.03187924445174968,0.017999638140277448,0.0523493309794805,1.1112561208395857,0.030108975345045065,0.032784633450963226,0.004463371128028851,0.04163642516044241,0.029486434644157407,5.46
0.2748147819436643,0.6623521889529714,7.359033287729364,0.13157461985840616,0.3913018799635178,0.031992564958224036,0.018052054882570803,0.05249720979629547,1.1136018090539235,0.03021420688072992,0.03287736817059348,0.0044884033947811455,0.04167268333604067,0.029557163894104562,5.47
0.27571584658218984,0.6633889488763847,7.356325661713267,0.13164760700891986,0.39156542905512903,0.0321060697352214,0.018104507008168586,0.05264516884315055,1.1159477744678323,0.030319603309878127,0.03297015387115148,0.0045135277548438235,0.04170881189453872,0.029627870966716607,5.48
0.2766177642794547,0.6644250962794792,7.353619031920223,0.13172024821259162,0.3918279616357395,0.03221975867925863,0.018156994380633718,0.052793207726600476,1.1182940138748985,0.030425164535084648,0.033062990307130495,0.004538744356539623,0.04174481114254309,0.02969855561469438,5.49
0.2775205324737994,0.6654606312455652,7.350913397983687,0.1317925444361401,0.39208948015534323,0.032333631686799945,0.01820951686385379,0.05294132605428288,1.120640524076821,0.030530890458957204,0.03315587723369856,0.004564053348000602,0.041780681385822076,0.0297692175917679,5.5
0.27842414860955284,0.6664955538578592,7.348208759537252,0.1318644966437665,0.3923499870584185,0.032447688654257144,0.018262074322040172,0.053089523434914715,1.1229873018833876,0.030636780984116197,0.03324881440669623,0.004589454877167712,0.04181642292930272,0.02983985665269237,5.51
