A,I1,I2,O,R,S,Time
0.32355088811155147,0.000625512602253435,0.6756360209207208,6.084812039694096e-05,0.00012654029266367012,1.8995241650414412e-07,4.4
0.32355071726299645,0.0006206650837845639,0.6756413384426259,6.08425350052679e-05,0.00012624674110780097,1.89934482935422e-07,4.41
0.3235505517267968,0.0006158572239313689,0.675646608544064,6.083699604330475e-05,0.00012595559246880687,1.899166985955786e-07,4.42
0.3235503913592167,0.0006110886982419134,0.675651831713315,6.083150311239256e-05,0.00012566682705465493,1.8989906219944895e-07,4.43
0.32355023602026467,0.0006063591849185398,0.6756570084320943,6.0826055817615636e-05,0.00012538042533526662,1.8988157247402898e-07,4.44
0.3235500855735974,0.0006016683647961605,0.6756621391756722,6.082065376775857e-05,0.00012509636794117118,1.8986422815833382e-07,4.45
0.32354993988642566,0.0005970159213207207,0.675667224412991,6.08152965752639e-05,0.00012481463566217025,1.8984702800325852e-07,4.46
0.3235497988294228,0.0005924015405278426,0.6756722646067792,6.0809983856190514e-05,0.00012453520944601432,1.8982997077144068e-07,4.47
0.3235496622766356,0.0005878249110216411,0.675677260213663,6.0804715230172643e-05,0.00012425807039709034,1.898130552371254e-07,4.48
0.3235495301053973,0.0005832857239537148,0.6756822116842761,6.079949032037945e-05,0.00012398319977512074,1.8979628018603236e-07,4.49
0.32354940219624284,0.000578783673002306,0.6756871194633658,6.079430875347531e-05,0.00012371057899387337,1.8977964441522468e-07,4.5
0.3235492784328266,0.0005743184543516341,0.6756919839898983,6.0789170159580684e-05,0.0001234401896198827,1.897631467329803e-07,4.51
0.3235491587018418,0.0005698897666713957,0.6756968056971601,6.078407417223348e-05,0.00012317201337118174,1.8974678595866493e-07,4.5200000000000005
0.3235490428929423,0.0005654973110964353,0.6757015850128586,6.07790204283511e-05,0.00012290603211604517,1.89730560922607e-07,4.53
0.3235489308986661,0.0005611407912065775,0.6757063223592196,6.077400856819304e-05,0.00012264222787174267,1.8971447046597467e-07,4.54
0.32354882261436124,0.0005568199130066288,0.6757110181530828,6.076903823532401e-05,0.00012238058280330342,1.8969851344065453e-07,4.55
0.3235487179381132,0.0005525343849065402,0.6757156728059953,6.076410907657762e-05,0.00012212107922229072,1.8968268870913233e-07,4.5600000000000005
0.32354861677067437,0.0005482839177017338,0.6757202867243038,6.075922074202061e-05,0.00012186369958558741,1.896669951443752e-07,4.57
0.32354851901539516,0.0005440682245535882,0.6757248603092432,6.075437288491757e-05,0.00012160842649419133,1.8965143162971596e-07,4.58
0.32354842457815725,0.0005398870209700848,0.6757293939570246,6.074956516169625e-05,0.00012135524269202116,1.8963599705873888e-07,4.59
0.3235483333673079,0.0005357400247866125,0.6757338880589211,6.074479723191323e-05,0.0001211041310647325,1.8962069033516725e-07,4.6000000000000005
0.3235482452935969,0.00053162695614693,0.6757383430013516,6.074006875822026e-05,0.0001208550746385439,1.8960551037275263e-07,4.61
0.3235481602701139,0.0005275475374842806,0.6757427591659628,6.073537940633095e-05,0.00012060805657907284,1.895904560951656e-07,4.62
0.32354807821222875,0.0005235014935026655,0.6757471369297094,6.073072884498803e-05,0.0001203630601901817,1.8957552643588824e-07,4.63
0.323547999037532,0.000519488551158268,0.6757514766649332,6.072611674593101e-05,0.00012012006891283343,1.8956072033810803e-07,4.64
0.32354792266577803,0.0005155084396410293,0.6757557787394389,6.072154278386429e-05,0.00011987906632395701,1.895460367546134e-07,4.65
0.32354784901882905,0.0005115608903563776,0.6757600435165707,6.071700663642577e-05,0.00011964003613532244,1.8953147464769068e-07,4.66
0.32354777802060053,0.0005076456369071022,0.6757642713552854,6.0712507984155904e-05,0.00011940296219242523,1.8951703298902261e-07,4.67
0.32354770959700846,0.0005037624150753804,0.6757684626102242,6.070804651046713e-05,0.0001191678284733805,1.8950271075958824e-07,4.68
0.3235476436759175,0.0004999109628049481,0.6757726176317838,6.070362190161376e-05,0.0001189346190878262,1.8948850694956413e-07,4.69
0.32354758018709057,0.0004960910201834192,0.6757767367661855,6.0699233846662265e-05,0.00011870331827583587,1.8947442055822725e-07,4.7
0.32354751906214013,0.0004923023294247457,0.6757808203555428,6.069488203746204e-05,0.00011847391040684029,1.8946045059385887e-07,4.71
0.3235474602344801,0.0004885446348518249,0.6757848687379273,6.069056616861647e-05,0.00011824637997855848,1.8944659607365008e-07,4.72
0.32354740363927936,0.00048481768287924655,0.6757888822474345,6.0686285937454386e-05,0.00011802071161593759,1.8943285602360846e-07,4.73
0.3235473492134165,0.0004811212219961834,0.6757928612142463,6.068204104400203e-05,0.0001177968900701018,1.8941922947846604e-07,4.74
0.3235472968954355,0.00047745500274941826,0.6757968059646939,6.067783119095535e-05,0.00011757490021731003,1.894057154815886e-07,4.75
0.3235472466255027,0.0004738187777265131,0.6758007168213186,6.0673656083652514e-05,0.00011735472705792247,1.8939231308488615e-07,4.76
0.3235471983453651,0.0004702123015391139,0.6758045941029316,6.0669515430046996e-05,0.00011713635571537573,1.8937902134872462e-07,4.7700000000000005
0.3235471519983089,0.00046663533080639396,0.6758084381246721,6.0665408940680956e-05,0.00011691977143516684,1.8936583934183883e-07,4.78
0.3235471075291204,0.00046308762413862934,0.6758122491980648,6.0661336328658914e-05,0.00011670495958384547,1.8935276614124657e-07,4.79
0.32354706488404655,0.0004595689421209122,0.6758160276310765,6.0657297309621806e-05,0.00011649190564801495,1.8933980083216367e-07,4.8
0.32354702401075763,0.0004560790472969948,0.6758197737281703,6.065329160172142e-05,0.00011628059523334138,1.8932694250792054e-07,4.8100000000000005
0.3235469848583101,0.00045261770415326824,0.6758234877903596,6.064931892559512e-05,0.00011607101406357143,1.8931419026987954e-07,4.82
0.3235469473771109,0.00044918467910286844,0.6758271701152615,6.064537900434091e-05,0.00011586314797955794,1.8930154322735362e-07,4.83
0.32354691151888243,0.0004457797404699158,0.6758308209971478,6.064147156349276e-05,0.00011565698293829416,1.892890004975258e-07,4.84
0.32354687723662834,0.0004424026584738814,0.675834440726996,6.063759633099639e-05,0.00011545250501195573,1.8927656120536992e-07,4.8500000000000005
0.32354684448460064,0.0004390532052140833,0.6758380295925391,6.063375303718525e-05,0.00011524970038695096,1.8926422448357242e-07,4.86
0.32354681321826717,0.00043573115465430663,0.6758415878783138,6.0629941414756824e-05,0.00011504855536297879,1.8925198947245496e-07,4.87
0.32354678339428006,0.00043243628260755196,0.6758451158657087,6.0626161198749246e-05,0.00011484905635209496,1.8923985531989814e-07,4.88
0.3235467549704452,0.0004291683667209076,0.675848613833011,6.062241212651822e-05,0.00011465118987778577,1.892278211812662e-07,4.89
0.32354672790569217,0.0004259271864605452,0.6758520820554519,6.061869393771426e-05,0.00011445494257404972,1.8921588621933275e-07,4.9
0.3235467021600451,0.0004227125230968396,0.6758555208052522,6.0615006374260076e-05,0.00011426030118448677,1.8920404960420723e-07,4.91
0.3235466776945945,0.0004195241596896077,0.6758589303516662,6.0611349180328437e-05,0.0001140672525613952,1.8919231051326256e-07,4.92
0.32354665447146935,0.0004163618810734706,0.6758623109610243,6.060772210232017e-05,0.00011387578366487613,1.891806681310635e-07,4.93
0.3235466324538103,0.0004132254738433342,0.6758656628967763,6.0604124888842457e-05,0.0001136858815619454,1.8916912164929597e-07,4.94
0.32354661160574344,0.00041011472633998967,0.6758689864195324,6.060055729068747e-05,0.00011349753342565304,1.891576702666974e-07,4.95
0.32354659189235446,0.00040702942863582957,0.6758722817871039,6.059701906081115e-05,0.00011331072653420987,1.891463131889877e-07,4.96
0.32354657327966413,0.00040396937252068304,0.6758755492545435,6.0593509954312326e-05,0.00011312544827012153,1.8913504962880115e-07,4.97
0.3235465557346037,0.0004009343514877654,0.6758787890741843,6.059002972841206e-05,0.00011294168611932977,1.8912387880561923e-07,4.98
0.32354653922499144,0.00039792416071974455,0.6758820014956783,6.058657814243328e-05,0.00011275942767036089,1.8911279994570426e-07,4.99
0.3235465237195094,0.000394938597074918,0.6758851867660343,6.0583154957780554e-05,0.00011257866061348112,1.8910181228203376e-07,5.0
0.3235465091876813,0.0003919774590735063,0.6758883451296546,6.057975993792024e-05,0.0001123993727398593,1.8909091505423556e-07,5.01
0.32354649559985016,0.0003890405468840569,0.6758914768283714,6.0576392848360786e-05,0.00011222155194073634,1.8908010750852395e-07,5.0200000000000005
0.32354648292715743,0.00038612766230996024,0.6758945821014827,6.0573053456633255e-05,0.00011204518620660178,1.8906938889763633e-07,5.03
0.32354647114152196,0.00038323860877607425,0.675897661185787,6.0569741532272146e-05,0.00011187026362637694,1.890587584807707e-07,5.04
0.32354646021562,0.0003803731913154603,0.6759007143156178,6.056645684679638e-05,0.0001116967723866052,1.8904821552352396e-07,5.05
0.3235464501228652,0.0003775312165562266,0.6759037417228771,6.056319917369056e-05,0.00011152470077064877,1.8903775929783084e-07,5.0600000000000005
0.32354644083738965,0.00037471249270848,0.6759067436370687,6.055996828838637e-05,0.0001113540371578923,1.8902738908190374e-07,5.07
