DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.8584599258062505,0.017391132500356746,0.0666368583549065,0.08940796982299778,0.06299378988212484,0.0015234991654304996,0.8810508472739802,0.21305968086275487,0.9152573914770681,0.03420654420308787,5.62
0.8605906285057963,0.01752325818906652,0.0670312138326812,0.0897210734818684,0.06311228057964853,0.0015394885363009339,0.8815586119604494,0.21308077883648233,0.9158256596212483,0.03426704766079891,5.63
0.8627215397812769,0.017656042872167554,0.06742681875237948,0.09003413975022209,0.06323061451626122,0.0015556063278254653,0.882064529903816,0.21310139642520406,0.9163920797404866,0.034327549836670614,5.64
0.8648526548408334,0.017789487642940832,0.06782367191944737,0.09034716523441484,0.06334879144810243,0.0015718532133333276,0.8825686071138421,0.2131215360169164,0.9169566578445723,0.03438805073073014,5.65
0.8669839689162675,0.017923593586786885,0.06822177212347338,0.09066014655381108,0.06346681113403874,0.0015882298671997077,0.8830708495808864,0.2131411999888917,0.9175193999238911,0.03444855034300463,5.66
0.8691154772631533,0.018058361781142486,0.06862111813811901,0.09097308034092899,0.06358467333567436,0.0016047369648450416,0.8835712632757888,0.21316039070792964,0.9180803119493101,0.03450904867352126,5.67
0.8712471751607566,0.018193793295458383,0.06902170872117823,0.0912859632414832,0.06370237781733945,0.0016213751827254313,0.8840698541499108,0.21317911053071376,0.918639399872218,0.03456954572230717,5.68
0.873379057911882,0.018329889191202868,0.06942354261469062,0.0915987919143858,0.06381992434606988,0.0016381451983194192,0.8845666281352406,0.2131973618039057,0.9191966696246301,0.034630041489389536,5.69
0.8755111208427374,0.018466650521860698,0.06982661854504359,0.09191156303175536,0.06393731269158912,0.0016550476901154832,0.8850615911444841,0.21321514686408125,0.9197521271192797,0.03469053597479549,5.7
0.8776433593028324,0.01860407833292204,0.07023093522305279,0.09222427327894271,0.06405454262629395,0.0016720833376010458,0.8855547490711309,0.21323246803769103,0.9203057782496831,0.0347510291785522,5.71
0.8797757686648874,0.018742173661867582,0.07063649134403405,0.09253691935456179,0.06417161392524161,0.0016892528212520215,0.8860461077895072,0.21324932764109517,0.920857628890194,0.034811521100686804,5.72
0.8819083443247384,0.018880937538155163,0.0710432855878779,0.09284949797051788,0.06428852636613634,0.0017065568225221777,0.8865356731548343,0.2132657279806273,0.9214076848960607,0.03487201174122648,5.73
0.8840410817012412,0.019020370983209016,0.07145131661912457,0.09316200585203054,0.06440527972931608,0.0017239960238326956,0.8870234510032868,0.21328167135264373,0.9219559521034852,0.034932501100198354,5.74
0.8861739762361667,0.019160475010408975,0.07186058308704783,0.09347443973765741,0.06452187379773779,0.0017415711085606482,0.88750944715206,0.21329716004356195,0.9225024363296896,0.03499298917762959,5.75
0.8883070233940925,0.019301250625079456,0.07227108362574017,0.09378679637931785,0.06463830835696242,0.001759282761027169,0.8879936673994356,0.21331219632989268,0.923047143372983,0.035053475973547334,5.76
0.8904402186623088,0.01944269882447978,0.07268281685418848,0.09409907254231352,0.0647545831951418,0.0017771316664869517,0.8884761175248415,0.21332678247827072,0.9235900790128202,0.03511396148797875,5.7700000000000005
0.8925735575507248,0.019584820597794532,0.07309578137634877,0.09441126500534844,0.06487069810300553,0.0017951185111177903,0.8889568032889089,0.21334092074549263,0.9241312490098599,0.035174445720950964,5.78
0.8947070355917722,0.019727616926123917,0.07350997578122419,0.09472337056054926,0.06498665287384765,0.00181324398200972,0.8894357304335335,0.2133546133785577,0.9246706591060246,0.035234928672491145,5.79
0.8968406483403056,0.01987108878247401,0.07392539864294588,0.0950353860134853,0.06510244730351264,0.0018315087671537285,0.889912904681937,0.213367862614707,0.9252083150245634,0.03529541034262643,5.8
0.8989743913735023,0.02001523713174747,0.07434204852085376,0.09534730818318765,0.06521808119038153,0.001849913555430488,0.8903883317387291,0.21338067068145927,0.9257442224701131,0.03535589073138398,5.8100000000000005
0.9011082602907647,0.020160062930734603,0.07475992395957579,0.09565913390216722,0.06533355433535841,0.001868459036599265,0.8908620172899692,0.21339303979664673,0.9262783871287601,0.035416369838790936,5.82
0.9032422507136258,0.020305567128104947,0.07517902348910661,0.09597086001643187,0.06544886654185714,0.0018871459012869559,0.8913339670032251,0.21340497216845208,0.9268108146680996,0.03547684766487444,5.83
0.9053763582856525,0.02045175066439891,0.07559934562488617,0.09628248338550284,0.06556401761578796,0.0019059748409770622,0.8918041865276335,0.21341646999544622,0.9273415107372951,0.03553732420966164,5.84
0.90751057867235,0.020598614472019723,0.07602088886787899,0.09659400088243066,0.0656790073655443,0.0019249465479985882,0.892272681493959,0.21342753546662538,0.9278704809671386,0.03559779947317969,5.8500000000000005
0.9096449075610651,0.020746159475225585,0.07644365170465361,0.09690540939381022,0.06579383560198927,0.001944061715514888,0.8927394575146552,0.21343817076144758,0.9283977309701109,0.035658273455455726,5.86
0.9117793406608921,0.020894386590122195,0.07686763260746218,0.09721670581979543,0.06590850213844258,0.001963321037512539,0.8932045201839238,0.21344837804986902,0.9289232663404408,0.03571874615651689,5.87
0.9139138737025774,0.02104329672465548,0.07729283003431947,0.09752788707411274,0.06602300679066735,0.001982725208790216,0.893667875077774,0.2134581594923806,0.9294470926541644,0.03577921757639034,5.88
0.9160485024384248,0.02119289077860464,0.07771924242908208,0.09783895008407424,0.06613734937685692,0.0020022749249475687,0.8941295277540813,0.21346751724004456,0.9299692154691845,0.03583968771510321,5.89
0.9181832226422023,0.02134316964357547,0.07814686822152771,0.09814989179058992,0.066251529717622,0.002021970882374084,0.894589483752647,0.2134764534345311,0.9304896403253297,0.03590015657268265,5.9
0.9203180301090471,0.021494134202993856,0.07857570582743424,0.09846070914817921,0.06636554763597753,0.0020418137782379133,0.8950477485952563,0.21348497020815432,0.9310083727444121,0.03596062414915579,5.91
