G,Ii,Ip,x1,x2,x3,Time
12227.026273138365,242.4146107243687,90.7159393185218,108.62674277840937,112.44401691460857,105.36959346105404,1.23
12226.09955556065,242.4067652175664,90.6947601124609,108.61181450353175,112.44083095987722,105.37548503178394,1.24
12225.17305684593,242.39890780595232,90.67358683172576,108.59688102418252,112.43763522178656,105.3813690369848,1.25
12224.246777189774,242.39103849683238,90.6524194814338,108.58194234963477,112.43442970415464,105.38724547481078,1.26
12223.320716787483,242.3831572975138,90.63125806669035,108.56699848915815,112.43121441080397,105.39311434342079,1.27
12222.394875834085,242.37526421530518,90.61010259258865,108.5520494520188,112.42798934556168,105.39897564097842,1.28
12221.469254524342,242.3673592575164,90.58895306420983,108.53709524747941,112.42475451225937,105.40482936565199,1.29
12220.543853052746,242.3594424314587,90.56780948662299,108.52213588479917,112.42150991473318,105.41067551561456,1.3
12219.618671613523,242.35151374444462,90.54667186488516,108.50717137323377,112.41825555682378,105.41651408904389,1.31
12218.69371040063,242.34357320378803,90.5255402040413,108.4922017220354,112.41499144237633,105.42234508412247,1.32
12217.768969607754,242.33562081680404,90.5044145091244,108.47722694045275,112.41171757524052,105.4281684990375,1.33
12216.844449428316,242.32765659080914,90.48329478515538,108.46224703773099,112.4084339592705,105.4339843319809,1.34
12215.920150055468,242.31968053312102,90.46218103714318,108.44726202311175,112.40514059832492,105.4397925811493,1.35
12214.996071682097,242.31169265105865,90.44107327008473,108.43227190583315,112.40183749626694,105.44559324474409,1.36
12214.072214500822,242.30369295194234,90.419971488965,108.41727669512976,112.39852465696416,105.45138632097132,1.37
12213.148578703996,242.29568144309357,90.39887569875698,108.40227640023262,112.39520208428866,105.45717180804179,1.3800000000000001
12212.225164483705,242.28765813183512,90.37778590442171,108.3872710303692,112.39186978211698,105.46294970417102,1.3900000000000001
12211.30197203177,242.27962302549096,90.3567021109083,108.37226059476343,112.38852775433016,105.46872000757924,1.4000000000000001
12210.379001539743,242.27157613138635,90.3356243231539,108.35724510263564,112.3851760048136,105.47448271649138,1.41
12209.456253198914,242.26351745684772,90.31455254608376,108.34222456320263,112.38181453745723,105.48023782913711,1.42
12208.533727200307,242.25544700920275,90.29348678461123,108.32719898567758,112.37844335615536,105.48598534375083,1.43
12207.61142373468,242.24736479578033,90.27242704363776,108.31216837927012,112.37506246480676,105.4917252585716,1.44
12206.689342992524,242.23927082391052,90.25137332805292,108.29713275318626,112.3716718673146,105.49745757184327,1.45
12205.767485164071,242.23116510092458,90.23032564273441,108.28209211662843,112.36827156758649,105.50318228181435,1.46
12204.845850439284,242.22304763415497,90.20928399254808,108.26704647879544,112.36486156953441,105.5088993867381,1.47
12203.924439007862,242.21491843093528,90.18824838234794,108.25199584888247,112.3614418770748,105.51460888487246,1.48
12203.003251059243,242.20677749860033,90.16721881697616,108.23694023608113,112.35801249412843,105.52031077448011,1.49
12202.082286782597,242.19862484448603,90.1461953012631,108.22187964957934,112.35457342462051,105.52600505382846,1.5
12201.161546366837,242.19046047592948,90.12517784002733,108.20681409856142,112.35112467248061,105.53169172118959,1.51
12200.241030000607,242.1822844002689,90.10416643807561,108.19174359220806,112.34766624164268,105.53737077484033,1.52
