Time,Akt,DEPTOR,iIRS,IR,IRS,mTORC1,mTORC1_DEPTOR,mTORC2,mTORC2_DEPTOR,pAkt,pDEPTOR,pIR,pIRS,pmTORC1,pmTORC2
288.0,50.47534049023258,32.21122966620851,88.22993735915875,36.56980489504565,3.1759992188183253,34.640894959902745,101.46545338009473,5.125429444870869,194.5716337500272,49.52465950976735,21.751683203667522,13.430195104954375,8.594063422023021,113.89365166000117,0.30293680509939885
291.6,51.85446817962805,31.87548202724488,88.36286245708591,36.56758536009207,3.2722474419951992,37.44974792251534,103.41003525055518,5.168946399414459,194.52571642983048,48.145531820371886,20.188766292367383,13.432414639907956,8.364890100918998,109.1402168269281,0.30533717075251543
295.2,53.19883681160225,31.484815424041358,88.45762208793899,36.5655230555102,3.3861171324256016,40.41328949539935,105.59221317097779,5.220227489270957,194.47162353958208,46.80116318839769,18.451347865396727,13.434476944489829,8.15626077963551,103.9944973336215,0.30814897114443035
298.8,54.50325756571913,31.025999499246264,88.51083406197176,36.56360683399421,3.5204426176835533,43.53063556623788,108.00749775098596,5.2811306120193455,194.4074081318601,45.496742434280804,16.559094617905643,13.436393166005828,7.968723320344781,98.4618666827748,0.31146125611802566
302.4,55.76209421216334,30.480513266268925,88.51825593291754,36.56182634121796,3.6787305964247774,46.80269407030772,110.64625654748363,5.354330316277132,194.33026710058812,44.237905787836596,14.542963085657252,13.438173658782057,7.803013470657768,92.55104938220727,0.3154025831321919
306.0,56.96904980969433,29.823250613912133,88.47455799255827,36.560171957590754,3.8653428489177304,50.23352541630556,113.4920970613186,5.443678452013983,194.23616403180063,43.0309501903056,12.44848829296651,13.439828042409268,7.6600991585240905,86.27437752237445,0.3201575161827938
309.6,58.116860948678024,29.02194461651436,88.37301765652153,36.55863474609667,4.085747344140675,53.83202328789331,116.51977471661685,5.554639484688351,194.11937064291692,41.883139051321905,10.338910023949774,13.44136525390334,7.541234999337885,79.64820199548845,0.3259898723921658
313.2,59.19687828351744,28.039275606833648,88.205125446683,36.55720640390061,4.34684390407453,57.61368838654465,119.69278499479307,5.694751798328065,193.97197915274077,40.803121716482494,8.295960245630395,13.442793596099404,7.4480306492425585,72.69352661866087,0.33326904892859155
316.8,60.19852586505832,26.84094332894497,87.96007063944914,36.555879216942515,4.657391960077034,61.60162715055751,122.96138864189527,5.873830065080561,193.78367780518465,39.801474134941614,6.413990223973012,13.444120783057507,7.382537400473924,65.43698420754583,0.3424921297322241
320.4,61.10872704662068,25.412315216714703,87.62408372741378,36.55464601835187,5.02856161365693,65.82478436509732,126.26291812353162,6.1033671335500195,193.54235427012557,38.89127295337926,4.782412389625958,13.445353981648168,7.347354658929397,57.91229751136969,0.35427859632179864
